release_mbid,artist_name,release_name,release_year,release_genres
1e1836a5-af34-3c6d-9756-21a90e8f0137,Hank Jones,In Japan,1979,jazz
50a4cdd9-1f5e-3ce2-b038-b7695d2ba850,Herb Ellis,Rhythm Willie,1975,jazz
cfaefa15-c6c9-34d7-a029-d0baa4692c60,Herb Ellis,Soft Shoe,1974,jazz; post-bop; swing
a74aab2a-624c-31be-a2a1-32a26b876f7f,Rosemary Clooney,Rosie Sings Bing,1978,vocal jazz; jazz
521d4d44-b1d9-31f3-ba02-dfe0a84a6771,Barney Kessel,Poor Butterfly,1977,cool jazz; jazz
c55df404-1273-3293-a40a-d8b00db4bc8f,Herb Ellis,Windflower,1978,bossa nova; swing; cool jazz; latin jazz; jazz
846ef6c9-ff31-326c-89a5-ab458138f652,Herb Ellis,Soft & Mellow,1978,jazz
99f8bd5f-da6d-3f95-a3c7-6401ea60e5b0,Scott Hamilton,Scott Hamilton and Warren Vaché With Scott's Band in New York City,1978,jazz; swing
e0b4bffd-931b-3fda-858b-44bee65aa836,Kenny Burrell,When Lights Are Low,1979,jazz
a6044d81-743e-3a62-afdf-20bb943b2505,Rush,Caress of Steel,1975,hard rock; progressive rock; rock; album rock; classic rock
4a48eaed-2b09-3147-b310-187bfc692849,Hank Williams,40 Greatest Hits,1978,country; honky tonk; traditional country
ebf50233-3954-3d0c-9fdb-27bfd28aafd7,Carly Simon,No Secrets,1972,country pop; soft rock; adult contemporary; pop music; rock; folk pop; bluegrass/folk; angry; pop; singer/songwriter; female vocal; pop rock
2cecb2c0-cac3-3c55-8083-577308746230,Talking Heads,More Songs About Buildings and Food,1978,indie rock; rock; art punk; post-punk; new wave; pop; funk rock; pop rock; punk
b367f14c-b981-3de8-9da5-056edbf5bca3,Jethro Tull,A Passion Play,1973,prog rock; progressive rock; rock; symphonic rock; folk rock; classic rock; blues rock
2b98e6d7-a521-332f-961e-d281ba33ba3d,The Police,Reggatta de Blanc,1979,alternative pop/rock; album rock; punk; rock; classic pop and rock; alternative rock; new wave; pop; 1979; pop rock
9c371adb-37de-308c-88ea-8e52248ab1a1,Elton John,Madman Across the Water,1971,1–4 wochen; psychedelic rock; rock/pop; soft rock; symphonic rock; offizielle charts; album rock; adult contemporary; baroque pop; progressive rock; english; rock; piano rock; folk rock; singer/songwriter; pop rock
f0371fc4-3e22-3d8d-8ce3-4af873ea6f1c,Boston,Boston,1976,hard rock; rock; album rock; arena rock; aor
43a0e8b5-6059-397f-81e6-b8df5a648496,Van Halen,Van Halen,1978,trance; 70s; van halen; heavy metal; album rock; hard rock; self-titled; rock; contemporary pop/rock; electronic; arena rock
7a1322d5-e81a-3a8d-bf54-2d4ae8604ef5,Creedence Clearwater Revival,More Creedence Gold,1973,swamp rock; rock; country rock; rock and roll; classic rock
56ecf5cb-ad82-3d7e-82bf-1904cc16f451,Eagles,Their Greatest Hits 1971–1975,1976,soft rock; rock; country rock; contemporary pop/rock; pop; album rock; classic rock
17ca8b4b-c72b-352a-8258-1d6670312fdb,KISS,Dressed to Kill,1975,glam metal; hard rock; 70s; rock; glam rock; heavy metal; classic rock; album rock
41a7db4a-426f-3871-9134-2d643b60e5d3,Creedence Clearwater Revival,Creedence Gold,1972,rock; country rock; rock and roll; classic rock
8588c5a5-b491-37a4-8d51-2227346a072e,Steely Dan,Aja,1977,jazz rock; rock; jazz fusion; yacht rock; pop; jazz-rock; pop rock
bff544a7-56e0-3ed6-9e0f-3b676cca9111,The Beatles,Let It Be,1970,folk/country; energetic; rhythm and blues; blues; beat music; melodic; classic rock; merseybeat; bittersweet; warm; rock; pop; pop rock; blues rock
3bcbb670-3d84-31a1-9838-42633504b075,Richard O’Brien,The Rocky Horror Picture Show,1975,rock & roll; rock; glam rock; rock and roll; glam; should be public domain; film; classic rock; soundtrack
d147e89b-90ca-35b6-9f7b-3e34b8edf63f,Kraftwerk,Die Mensch·Maschine,1978,synth-pop; offizielle charts; 5+ wochen; deutsch; krautrock; minimal wave; pop; electronic; synthpop; electro
68699ffe-f5fd-337a-8bb9-8a196157afa8,The B‐52s,The B‐52’s,1979,70s; alternative pop/rock; alternative/indie rock; alternative; pop/rock; punk/new wave; rock; dance-rock; alternative rock; post-punk; new wave; pop; college rock; 1979; pop rock
b60a80b9-5077-38f7-92df-fda49d5a73f5,Keith Jarrett,My Song,1978,jazz
3a12d4fd-c023-3a69-afe6-ff502136b183,Culture,Baldhead Bridge,1978,roots reggae; reggae
ab22fc18-22c6-3a91-95ed-c80a789446db,Planxty,The Planxty Collection,1975,celtic; folk
542bb617-2848-33be-89bf-e8d3561f0fa4,Tangerine Dream,Stratosfear,1976,progressive rock; rock; progressive electronic; berlin school; ambient; experimental; electronic
6619f357-4115-3d8a-bd52-238641c23c28,Elton John,Greatest Hits,1974,rock & roll; rock/pop; soft rock; glam rock; bennie and the jets; album rock; classic rock; sound clip; adult contemporary; rock; contemporary pop/rock; pop; singer/songwriter; pop rock
527eeafc-adbc-3c85-a048-0711acb4a932,Elton John,Elton John,1970,rock/pop; soft rock; blues; album rock; adult contemporary; pop/rock; rock; piano rock; pop male singer-songwriter; pop; singer/songwriter; pop rock
96c98370-1390-33ec-9bc6-ed15e16c3e25,Tangerine Dream,Rubycon,1975,progressive electronic; berlin school; ambient; experimental; electronic
f0e36620-7606-312c-9a8d-6c1e48b49125,Reinhard Mey,Keine ruhige Minute,1979,folk; ballad; pop; blues
7ef8da22-e852-3efa-91c3-8ab92c1dddd9,Claude Debussy,"Préludes, Volume 1",1978,impressionist; classical
