lat,lon,release_year,genre_ids
44.5460,-70.5458,1938,|424|11758|6160|12546|12750|16244|
31.8604,-90.3959,1937,|4993|2703|
31.8604,-90.3959,1936,|4993|2703|
31.8604,-90.3959,1937,|4993|2703|
31.8604,-90.3959,1937,|4993|2703|
31.8604,-90.3959,1937,|4993|2703|
31.8604,-90.3959,1936,|4993|2703|4299|
31.8604,-90.3959,1937,|4993|2703|4299|
31.8604,-90.3959,1937,|4993|2703|
31.8604,-90.3959,1936,|4993|2703|
47.2372,-93.5302,1939,|11758|
39.9527,-75.1635,1939,|9356|13334|16803|
31.5492,-97.1475,1936,|4287|16803|9356|2703|
53.5505,8.5852,1939,|13334|
-25.9662,32.5674,1934,|15450|13334|
34.1513,-99.2861,1933,|9356|2474|16803|
32.9715,-89.7348,1932,|4287|
43.6045,1.4442,1935,|10141|17004|
40.7433,-74.0324,1939,|4619|
47.2455,-122.4383,1935,|13334|
47.2455,-122.4383,1937,|13334|
31.3616,-96.1441,1934,|5849|
31.5492,-97.1475,1939,|18715|
51.5074,-0.1278,1933,|13334|
41.2587,-95.9384,1937,|9356|13334|
39.9829,-75.7652,1933,|3912|
39.1001,-94.5781,1938,|9356|2474|16803|
-22.9110,-43.2094,1939,|10141|15325|
32.6876,-93.9610,1939,|2703|
41.2587,-95.9384,1937,|9356|13334|2474|
40.8079,-73.9455,1932,|9356|2474|
42.3316,-83.0466,1930,|9356|
47.2455,-122.4383,1936,|11758|13334|
50.5136,4.4208,1937,|9356|
47.2455,-122.4383,1931,|13334|
48.8535,2.3484,1930,|13334|
39.9527,-75.1635,1937,|9356|
41.2587,-95.9384,1936,|13334|
40.7127,-74.0060,1938,|9356|2474|
41.2587,-95.9384,1937,|13334|
40.8079,-73.9455,1937,|9356|2474|16803|
55.8612,-4.2502,1939,|13334|
51.5074,-0.1278,1934,|13334|
32.9715,-89.7348,1935,|2703|
29.9413,-90.0376,1930,|2703|
35.7454,-89.5298,1937,|2703|
47.2455,-122.4383,1936,|13334|
35.0457,-85.3095,1931,|2703|
31.8604,-90.3959,1936,|2703|
31.9004,-84.2519,1937,|2703|
31.9004,-84.2519,1931,|2703|
33.7545,-84.3898,1938,|9356|2703|
33.7545,-84.3898,1938,|9356|2703|
35.2049,-92.4479,1939,|2703|
35.2049,-92.4479,1938,|2703|
32.9715,-89.7348,1935,|2703|
39.1001,-94.5781,1939,|2785|2703|13141|
36.1623,-86.7743,1935,|2703|
39.1001,-94.5781,1938,|9356|2474|16803|
39.1001,-94.5781,1938,|9356|2474|16803|
48.2084,16.3725,1930,|13334|2097|
47.2455,-122.4383,1938,|9356|13334|2474|
31.7607,-93.0860,1936,|4299|2703|
40.8079,-73.9455,1936,|9356|
53.5503,10.0007,1932,|13334|
50.5136,4.4208,1936,|9356|
41.8756,-87.6244,1936,|9356|2703|
29.9561,-90.0734,1938,|9356|2703|
50.5136,4.4208,1937,|9356|7946|16803|
50.5136,4.4208,1937,|7946|9356|
40.7433,-74.0324,1939,|9356|13334|
30.1669,-96.3977,1930,|2703|4299|7722|
51.5074,-0.1278,1937,|9356|2474|
62.3908,17.3071,1934,|15450|13334|
40.3497,-74.6597,1935,|13334|
36.0680,-90.9561,1936,|3623|2703|
48.2251,16.3584,1937,|3933|
48.2084,16.3725,1930,|13334|2097|
60.9966,24.4651,1938,|3933|
41.8756,-87.6244,1938,|4287|
41.8756,-87.6244,1938,|4287|
62.3908,17.3071,1937,|15450|13334|
