release_year,artist_name,release_name,release_genres,lat,lon
1948,Frank Sinatra,Christmas Songs by Sinatra,easy listening; 1–4 wochen; english; offizielle charts; vocal jazz; christmas; jazz; pop; christmas music,40.7433,-74.0324
1946,Bing Crosby,Blue Skies,pop,47.2455,-122.4383
1946,Woody Guthrie,Nursery Days,folk,35.4326,-96.305
1945,Woody Guthrie,Struggle,folk,35.4326,-96.305
1945,Bing Crosby,Merry Christmas,1–4 wochen; discogs/the most popular album released every year from 1950 to 2020; english; offizielle charts; vocal jazz; pop christmas; christmas music; pop; traditional pop,47.2455,-122.4383
1949,Richard Rodgers,South Pacific,musical; classical,40.7127,-74.006
1940,Woody Guthrie,Dust Bowl Ballads,1940; folk; dust bowl ballads; victor; ballad,35.4326,-96.305
1945,Miklós Rózsa,Spellbound,classical,47.4814,19.1461
1948,Irving Berlin,Easter Parade,musical; classical,54.4098,29.6938
1942,Bing Crosby,Song Hits From the Paramount Picture Holiday Inn,miscellaneous; pop,47.2455,-122.4383
1948,Rosemary Clooney,The Essential Rosemary Clooney,easy listening; big band; latin jazz; jazz,38.6475,-83.7645
1947,Harry Revel,Music Out of the Moon,lounge,51.5074,-0.1278
1940,Louis Armstrong,Marie / Sleepy Time Gal,jazz; pop,29.9561,-90.0734
1940,Bukka White,Black Train Blues / Fixin' to Die Blues,blues,33.8984,-88.9992
1947,Merle Travis,Folk Songs of the Hills,country; folk,37.0867,-87.0894
1948,Sister Rosetta Tharpe,"Up Above My Head, I Hear Music in the Air / My Journey to the Sky",jazz; blues; gospel,35.0035,-91.2502
1949,Frankie Laine,That Lucky Old Sun,pop,41.8801,-87.6668
1946,The Nat King Cole Trio,(Get Your Kicks on) Route 66 / Everyone Is Saying Hello Again (Why Must We Say Goodbye?),r&b; jazz; pop,34.0537,-118.2428
1949,Roy Rogers,Home in Oklahoma / A Gay Ranchero,country,39.1015,-84.5125
1949,Burl Ives,Riders in the Sky,country,40.0797,-89.4337
1947,Frank Sinatra,I Believe / Time After Time,jazz; pop; ballad,40.7433,-74.0324
1949,Hank Snow,I Wonder Where You Are Tonight / The Drunkard's Son,classic country,45.196,-63.1654
1946,Frank Sinatra,Five Minutes More / How Cute Can You Be?,jazz; pop,40.7433,-74.0324
1945,Jo Stafford,Symphony / Day by Day,pop,36.1397,-120.3601
1945,Ella Fitzgerald,It’s Only a Paper Moon / Cry You Out of My Heart,blues,36.9775,-76.4298
1944,Judy Garland,Meet Me in St. Louis,jazz; big band,47.2372,-93.5302
1949,Frank Sinatra,Frankly Sentimental,swing; jazz; pop; traditional pop,40.7433,-74.0324
1947,Frank Sinatra,Songs by Sinatra,jazz; pop; traditional pop,40.7433,-74.0324
1946,Frank Sinatra,The Voice of Frank Sinatra,jazz; pop; traditional pop,40.7433,-74.0324
1945,Frank Sinatra,Ol' Man River / Stormy Weather,musical; jazz; pop,40.7433,-74.0324
1945,Richard Rodgers,Carousel,musical,40.7127,-74.006
1942,Johnnie Johnston,Windmill Under the Stars / Conchita Lopez,jazz,38.6254,-90.19
1949,Leroy Anderson,Sleigh Ride / Serenata,instrumental; pop; classical,42.3656,-71.104
1946,The Nat King Cole Trio,The Christmas Song / In the Cool of Evening,jazz,34.0537,-118.2428
1948,Bill Monroe and the Bluegrass Boys,My Rose of Old Kentucky / Sweetheart You Done Me Wrong,bluegrass,33.7545,-84.3898
1949,Bill Monroe and the Bluegrass Boys,I’m Going Back to Old Kentucky / Molly and Tenbrooks (The Race Horse Song),bluegrass,33.7545,-84.3898
1943,Bing Crosby,I'll Be Home for Christmas (If Only in My Dreams) / Danny Boy,pop,47.2455,-122.4383
1942,Bob Wills and His Texas Playboys,Dusty Skies / It’s All Your Fault,western swing,31.5492,-97.1475
1947,Tex Williams,Smoke! Smoke! Smoke! (That Cigarette) / Roundup Polka,country,39.1445,-89.1087
1947,Clyde Moody,Shenandoah Waltz / There's a Big Rock in the Road,country,35.673,-79.0393
1946,Bing Crosby,Yours Is My Heart Alone / The Anniversary Waltz,jazz/swing,47.2455,-122.4383
1946,Sarah Vaughan,Don’t Blame Me / Tenderly,jazz,40.7357,-74.1724
1945,Bob Wills and His Texas Playboys,Hang Your Head in Shame / Smoke on the Water,country; jazz; western swing,31.5492,-97.1475
1947,The Mills Brothers,"Across the Alley From the Alamo / Dream, Dream, Dream",pop,40.1448,-84.2424
1947,Bob Wills and His Texas Playboys,Spanish Fandango / Bubbles in My Beer,country; jazz; blues; western swing,31.5492,-97.1475
1944,Ella Mae Morse,Patty Cake Man / Invitation to the Blues,easy listening; jazz; pop,32.5635,-97.142
1945,Duke Ellington and His Orchestra,I'm Just a Lucky So and So / The Wonder of You,jazz; big band,40.8079,-73.9455
1949,Doris Day,With You Anywhere You Are / I Don't Wanna Be Kissed,pop,39.1015,-84.5125
1945,Frank Sinatra,Nancy (With the Laughing Face) / The Cradle Song,pop,40.7433,-74.0324
1947,Nat King Cole,Too Young to Go Steady / Never Let Me Go,vocal jazz,32.3777,-86.3091
1945,Perry Como,Till the End of Time / (Did You Ever Get) That Feeling in the Moonlight,pop,40.2588,-80.1867
1949,Tony Martin,There's No Tomorrow / A Thousand Violins,pop; oldies,37.8045,-122.2714
1942,Ernest Tubb,You Nearly Lose Your Mind / I'm Wondering How,country,31.2639,-98.5456
1949,Gene Autry,"Rudolph, the Red‐Nosed Reindeer / If It Doesn’t Snow on Christmas",country; pop; christmas music,33.4678,-96.9152
1941,Connee Boswell,Sweethearts or Strangers / I’ll Keep On Loving You,jazz; pop,39.1001,-94.5781
1947,Gene Autry,Here Comes Santa Claus (Down Santa Claus Lane) / An Old‐Fashioned Tree,country,33.4678,-96.9152
1946,Arthur “Big Boy” Crudup,So Glad You’re Mine / Ethel Mae,blues,32.3646,-89.4742
1944,Sarah Vaughan,Interlude / East of the Sun,jazz; swing,40.7357,-74.1724
1947,Arthur “Big Boy” Crudup,Crudup’s After Hours / That’s All Right,blues,32.3646,-89.4742
1941,St. Louis Jimmy Oden,Monkey Face Blues / Going Down Slow,piano blues; blues,36.1623,-86.7743
1947,T‐Bone Walker,I Know Your Wig Is Gone / Call It Stormy Monday but Tuesday Is Just as Bad,electric blues; blues,33.0124,-94.3655
1941,Duke Ellington and His Orchestra,I Got It Bad (And That Ain't Good) / Chocolate Shake,big band; swing; jazz; pop,40.8079,-73.9455
1949,Hank Snow,Nobody's Child / One Rose,classic country,45.196,-63.1654
1947,Johnny Moore’s Three Blazers,"Merry Christmas, Baby / Lost in the Night",blues,34.0537,-118.2428
1942,Lale Andersen,Unter einem Regenschirm am Abend / Unter der roten Laterne von St. Pauli,schlager; pop,53.5505,8.5852
1949,T‐Bone Walker,You’re My Best Poker Hand / Long Lost Lover Blues,blues; texas blues; electric blues,33.0124,-94.3655
1945,Frank Sinatra,Dream / There's No You,jazz; pop,40.7433,-74.0324
1944,The Mills Brothers,You Always Hurt the One You Love / Till Then,pop,40.1448,-84.2424
1942,The Mills Brothers,I’ll Be Around / Paper Doll,jazz; pop,40.1448,-84.2424
1948,Muddy Waters,I Can't Be Satisfied / Feel Like Going Home,chicago blues; blues,32.9715,-89.7348
1948,Lonnie Johnson,Tomorrow Night / What a Woman,texas blues; blues,29.9561,-90.0734
1949,Leon Payne,I Love You Because / A Link in the Chain of Broken Heart,pop,31.2639,-98.5456
1946,Al Jolson,Avalon / Anniversary Song,pop,55.3564,22.4052
1946,Roy Acuff,"Gone, Gone, Gone / Let Me Be the First to Say I'm Sorry",country,36.2497,-83.7989
1940,Roy Acuff,The Streamlined Cannon Ball / Mule Skinner Blues (Blue Yodel #8),country,36.2497,-83.7989
1941,Jimmy Wakely,I'll Never Let You Go / There Ain't Gonna Be No Me,classic country,34.3134,-94.0308
1949,Dinah Shore,"My One and Only Highland Fling / Baby, It's Cold Outside",pop,35.186,-86.1118
